,0 pi,2/3 pi,4/3 pi
439,1047877.8427075187,1050484.840590003,1047367.9824129865
440,1047878.9237739634,1050457.9668216293,1047393.6965100132
441,1047860.1294867998,1050431.179161632,1047439.1930721009
442,1047831.7405850602,1050402.3121266703,1047496.3576827747
443,1047699.5433853675,1050375.2579203038,1047655.5126898633
444,1047716.0585675148,1050335.7392878756,1047678.4155453782
445,1047754.8842436029,1050293.5396474763,1047681.6856223221
446,1047768.1332326252,1050249.8851323873,1047711.9848569668
447,1047566.3081157363,1050187.190900386,1047976.3963815978
448,1047298.9810647235,1050128.0852432454,1048302.8955577977
449,1047501.754649109,1050255.9272432514,1047972.3878216374
450,1047685.7702133806,1050320.6311996302,1047723.7741729163
451,1047689.381423619,1050361.6025090683,1047679.2946563533
452,1047628.8241627401,1050399.6074725548,1047701.946186848
453,1047663.8200780302,1050435.9351133567,1047630.7172037289
454,1047653.4284056032,1050469.0594448633,1047608.0735717826
455,1047802.1064896472,1050488.1689942256,1047440.3685580798
456,1047902.4477896672,1050498.5511833308,1047329.7204702438
457,1047712.0722013334,1050545.9952668943,1047472.7193960976
458,1047818.4027255102,1050553.8126871153,1047358.630200466
459,1050394.067562387,1048416.2846057997,1046920.5429076392
460,1050602.1980526058,1047598.4004058355,1047530.3362784127
461,1050612.100525649,1047602.8681426991,1047515.9954933278
462,1050619.198508009,1047555.8928112873,1047555.8917247308
463,1050621.9803521696,1047554.5059521873,1047554.5048641523
464,1050620.3383904665,1047602.0871562172,1047508.5629084453
465,1050615.6079516094,1047607.4806201251,1047507.8863648332
466,1049338.8876630615,1049826.5879344905,1046565.4751542397
467,1047604.468321974,1050595.7039102295,1047530.7439298598
468,1047699.5928564352,1050575.672439841,1047455.6062451116
469,1047806.4107010367,1050546.1636517972,1047378.2430069344
470,1047905.0820526287,1050509.5387802725,1047316.133361609
471,1047611.3813196312,1050513.5581196158,1047605.7432544341
472,1047669.7181288353,1050484.0130425165,1047576.872414022
473,1047891.4379929765,1050432.0290888546,1047407.0505753366
474,1047992.4028208699,1050381.4392549708,1047356.5836762168
475,1047798.2396181584,1050375.7475215842,1047556.3415917059
476,1047776.3239369421,1050339.008490638,1047614.8950703675
477,1047808.8352227866,1050296.2548839874,1047625.0328464911
478,1047610.4259299947,1050248.77975115,1047870.8102988796
479,1047572.1112932672,1050193.9422828741,1047963.8538923739
480,1047229.4668285934,1050087.8552955019,1048412.6450874154
481,1047297.4365566872,1050190.3811415464,1048242.2576560873
482,1047416.8116174707,1050287.360818091,1048026.0090763106
